duplicate_type,original_id,original_name,original_source,duplicate_name,duplicate_source,signature
EXACT_DUPLICATE,95625d71-c912-4c30-81d1-f78caeddb17f,"ATOR","Page 44, Row 3","ATOR","Page 44, Row 4","ator|tablet|40 mg|10|eipico|Egypt"
EXACT_DUPLICATE,61c93477-c116-43b3-885c-5cb55fbee1dd,"Bendex suspension","Page 61, Row 1","Bendex suspension","Page 61, Row 2","bendex suspension|suspension|NO_STR|10|cipla|India"
EXACT_DUPLICATE,d8e8c379-2d20-4a63-8220-f83ef5bdb391,"Betonate","Page 66, Row 4","Betonate","Page 66, Row 6","betonate|cream|0.1 %|15|shaphaco|Yemen"
EXACT_DUPLICATE,effdfdc9-33fa-4faa-8627-28134a6bc47b,"Bisacodyl","Page 72, Row 3","Bisacodyl","Page 72, Row 4","bisacodyl|tablet|NO_STR|105|krka|India"
EXACT_DUPLICATE,40166ed1-f665-4ab0-846a-1186f82bceba,"B-M anticough","Page 75, Row 3","B-M- ANTICOUGH","Page 75, Row 4","b m anticough|syrup|NO_STR|60|bmp|Thailand"
EXACT_DUPLICATE,079e25f3-8631-4bc3-831f-bed798daeec9,"Calcium complete","Page 87, Row 4","Calcium complete","Page 87, Row 5","calcium complete|tablet|NO_STR|30|sona nutrition ltd ireland|Unknown"
EXACT_DUPLICATE,7f9e1a31-32c4-4e42-803c-13cd7044d802,"Dermotan","Page 146, Row 7","Dermotan","Page 147, Row 1","dermotan|other|NO_STR|1|unknown|Unknown"
EXACT_DUPLICATE,54f113d7-62e9-4e57-8d30-76178e368dea,"Dispercam","Page 163, Row 3","Dispercam","Page 163, Row 4","dispercam|other|NO_STR|1|unknown|Unknown"
EXACT_DUPLICATE,54f113d7-62e9-4e57-8d30-76178e368dea,"Dispercam","Page 163, Row 3","Dispercam","Page 163, Row 5","dispercam|other|NO_STR|1|unknown|Unknown"
EXACT_DUPLICATE,fba0cf47-1002-4aed-81be-43b8d5c889f8,"DiVance","Page 164, Row 1","DiVance","Page 164, Row 2","divance|tablet|500 mg|30|y e pharma|Yemen"
EXACT_DUPLICATE,145ac29a-4073-4c81-8a78-b502e067709a,"Dizinil","Page 164, Row 3","Dizinil","Page 164, Row 4","dizinil|tablet|NO_STR|20|julphar|UAE"
EXACT_DUPLICATE,4874b95f-50cd-408a-8c19-a524cf303d57,"Domotil","Page 167, Row 6","Domotil","Page 168, Row 1","domotil|suspension|NO_STR|60|y e pharma|Yemen"
EXACT_DUPLICATE,bb53baae-fa71-4263-8908-0319dfe5490c,"Dwaspasm plus","Page 175, Row 1","Dwaspasm- plus","Page 175, Row 2","dwaspasm plus|tablet|10 mg|20|modern pharama|Yemen"
EXACT_DUPLICATE,c43e79b7-e66f-474c-8711-f49df5905422,"Emeset - 4","Page 180, Row 3","Emeset - 4","Page 180, Row 4","emeset 4|tablet|NO_STR|6|cipla|India"
