source_file,source_page,source_row,reason,original_record
Drug_Products_Directory_Yemen.pdf,3,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,3,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","َضالد انجشد"
Drug_Products_Directory_Yemen.pdf,3,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Deficiency َمص ف ٍتبي ٍُبد"
Drug_Products_Directory_Yemen.pdf,3,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","ٌ انشبئؼخ انذ ٌذا"
Drug_Products_Directory_Yemen.pdf,3,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","اجهضح تشخ ٍص ٍخ"
Drug_Products_Directory_Yemen.pdf,3,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Asthma انشثى ً انشؼج"
Drug_Products_Directory_Yemen.pdf,4,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Infections األصبثبد انجكت ٍش ٌخ"
Drug_Products_Directory_Yemen.pdf,4,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Analgesic يهذئبد األوجبع وانح ًى"
Drug_Products_Directory_Yemen.pdf,4,3,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","Disorders اضطشاثبد انجهبص ً انت ُفغ"
Drug_Products_Directory_Yemen.pdf,4,4,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","األصبثبد انف ٍشوع ٍخ"
Drug_Products_Directory_Yemen.pdf,4,5,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
Drug_Products_Directory_Yemen.pdf,4,6,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
Drug_Products_Directory_Yemen.pdf,4,7,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
Drug_Products_Directory_Yemen.pdf,5,1,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
Drug_Products_Directory_Yemen.pdf,5,2,"Arabic source text extracted from PDF requires visual/source review; value was preserved without correction","انهضى"
